Latitude,Longitude,Stop Name,Classification
33.5756058,-117.2120161,Monroe & Chatenay,Residential
33.57796561,-117.2111578,Jackson & Monroe,Residential
33.57979799,-117.2131426,E. Hale Curran Elementary School,Community
33.57664269,-117.2171767,Chaco Canyon & Verdun,Residential
33.58162136,-117.214971,Jackson & Via Diamante/Buttercup,Residential
33.56268474,-117.2089452,Kalmia @ Kohl's,Commercial
33.56536674,-117.2119492,Village Walk Plaza,Commercial
33.56130795,-117.2106457,Kalmia & Jefferson,Commercial
33.55992219,-117.2091383,Murrieta Town Square,Services
33.56669877,-117.2164124,Jefferson & Lemon,Residential
33.57207181,-117.2223306,Jefferson & Magnolia/Nighthawk,Residential
33.56427773,-117.2196678,Lemon & Adams,Residential
33.56962557,-117.225479,Nighthawk & Adams,Residential
33.57082026,-117.2327619,Plaza de Oro,Commercial
33.56718558,-117.228946,Washington & Nighthawk,Residential
33.56453691,-117.2322688,Murrieta Valley High School,Community
33.56133186,-117.2343551,Thompson Middle School & Murrieta Canyon Academy,Community
33.55765885,-117.2283466,Vineyard & Luna Brilla/Calle Estancia,Residential
33.56177438,-117.2230134,Washington & Vineyard/Lemon,Residential
33.55969451,-117.220783,Centerpoint Church,Community
33.55640076,-117.2171642,Washington & Kalmia,Commercial
33.55890589,-117.2138337,Kalmia & Adams,Community
33.5570373,-117.2118166,Murrieta Public Library & Murrieta Elementary School,Community
33.55452034,-117.2150825,Washington & B,Commercial
33.55309421,-117.2168828,B & 2nd,Residential
33.55504336,-117.2189696,Kalmia & 2nd,Residential
33.55687485,-117.2100529,Murrieta Senior Center,Community
33.55372456,-117.2142221,Washington & Juniper,Commercial
33.55231633,-117.2160192,Junpier & 2nd,Residential
33.55322188,-117.2212989,Kalmia & 4th,Residential
33.55145271,-117.2236289,Kalmia & Hayes,Residential
33.54871798,-117.2207811,Hayes & Juniper,Residential
33.54602093,-117.217791,Hayes & Ivy,Residential
33.54065563,-117.2119073,Hayes & Hawthorn,Residential
33.53531414,-117.206107,Hayes & De Luz/Guava,Residential
33.55098149,-117.2112573,Washington & Ivy,Commercial
33.55353582,-117.2079424,Ivy & Adams,Commercial
33.54563897,-117.2054779,Washington & Hawthorn,Residential
33.54278761,-117.196297,Adams & Guava,Commercial
33.5586629,-117.2077071,Jefferson & Juniper,Community
33.55596579,-117.2048272,Jefferson & Ivy/Los Alamos,Residential
33.55065133,-117.198985,Jefferson & Murrieta Hot Springs,Commercial
33.54517652,-117.1931565,Jefferson & Guava,Commercial
33.54037578,-117.1866285,Jefferson & Fig,Commercial
33.53547188,-117.1800458,Jefferson & Elm,Commercial
33.53101356,-117.1764938,Jefferson & Pear/Eastman,Commercial
33.52706886,-117.1723005,Jefferson & Cherry,Commercial
33.57143427,-117.1835869,Sierra Vista Shopping Center,Commercial
33.57945236,-117.1951376,Hancock & Las Brisas N/Ridgewood,Residential
