Stop Name,Latitude,Longitude,Classification,Scores,Notes
Margarita & Torrey Pines,33.54930348,-117.1573326,Residential,,
California Oaks & Falconer/Manresa,33.59049529,-117.1986909,Residential,,
California Oaks & Hancock,33.58183701,-117.1983723,Residential,,
California Oaks Sports Park,33.57511482,-117.2014659,Community,,
California Oaks & Jackson,33.57178057,-117.2040194,Commercial,,
California Oaks Plaza,33.5675121,-117.2060051,Commercial,,
Calvary Chapel Murrieta,33.57253973,-117.2122682,Community,,
Monroe & Chatenay,33.5756058,-117.2120161,Residential,,
Jackson & Monroe,33.57796561,-117.2111578,Residential,,
E. Hale Curran Elementary School,33.57979799,-117.2131426,Community,,
Chaco Canyon & Verdun,33.57664269,-117.2171767,Residential,,
Jackson & Via Diamante/Buttercup,33.58162136,-117.214971,Residential,,
Kalmia @ Kohl's,33.56268474,-117.2089452,Commercial,,
Village Walk Plaza,33.56536674,-117.2119492,Commercial,,
Kalmia & Jefferson,33.56130795,-117.2106457,Commercial,,
Murrieta Town Square,33.55992219,-117.2091383,Services,,
Jefferson & Lemon,33.56669877,-117.2164124,Residential,,
Jefferson & Magnolia/Nighthawk,33.57207181,-117.2223306,Residential,,
Lemon & Adams,33.56427773,-117.2196678,Residential,,
Nighthawk & Adams,33.56962557,-117.225479,Residential,,
Plaza de Oro,33.57082026,-117.2327619,Commercial,,
Washington & Nighthawk,33.56718558,-117.228946,Residential,,
Murrieta Valley High School,33.56453691,-117.2322688,Community,,
Thompson Middle School & Murrieta Canyon Academy,33.56133186,-117.2343551,Community,,
Vineyard & Luna Brilla/Calle Estancia,33.55765885,-117.2283466,Residential,,
Washington & Vineyard/Lemon,33.56177438,-117.2230134,Residential,,
Centerpoint Church,33.55969451,-117.220783,Community,,
Washington & Kalmia,33.55640076,-117.2171642,Commercial,,
Kalmia & Adams,33.55890589,-117.2138337,Community,,
Murrieta Public Library & Murrieta Elementary School,33.5570373,-117.2118166,Community,,
Washington & B,33.55452034,-117.2150825,Commercial,,
B & 2nd,33.55309421,-117.2168828,Residential,,
Kalmia & 2nd,33.55504336,-117.2189696,Residential,,
Murrieta Senior Center,33.55687485,-117.2100529,Community,,
Washington & Juniper,33.55372456,-117.2142221,Commercial,,
Junpier & 2nd,33.55231633,-117.2160192,Residential,,
Kalmia & 4th,33.55322188,-117.2212989,Residential,,
Kalmia & Hayes,33.55145271,-117.2236289,Residential,,
Hayes & Juniper,33.54871798,-117.2207811,Residential,,
Hayes & Ivy,33.54602093,-117.217791,Residential,,
Hayes & Hawthorn,33.54065563,-117.2119073,Residential,,
Hayes & De Luz/Guava,33.53531414,-117.206107,Residential,,
Washington & Ivy,33.55098149,-117.2112573,Commercial,,
Ivy & Adams,33.55353582,-117.2079424,Commercial,,
Washington & Hawthorn,33.54563897,-117.2054779,Residential,,
Adams & Guava,33.54278761,-117.196297,Commercial,,
Jefferson & Juniper,33.5586629,-117.2077071,Community,,
Jefferson & Ivy/Los Alamos,33.55596579,-117.2048272,Residential,,
Jefferson & Murrieta Hot Springs,33.55065133,-117.198985,Commercial,,
Jefferson & Guava,33.54517652,-117.1931565,Commercial,,
Jefferson & Fig,33.54037578,-117.1866285,Commercial,,
Jefferson & Elm,33.53547188,-117.1800458,Commercial,,
Jefferson & Pear/Eastman,33.53101356,-117.1764938,Commercial,,
Jefferson & Cherry,33.52706886,-117.1723005,Commercial,,
Sierra Vista Shopping Center,33.57143427,-117.1835869,Commercial,,
Hancock & Las Brisas N/Ridgewood,33.57945236,-117.1951376,Residential,,
Hancock & Leafwood/Milkwood,33.57429538,-117.1883166,Residential,,
Hancock & Las Brisas S/Coliseum,33.57172907,-117.1854091,Residential,,
Los Alamos & Parkcrest,33.56840807,-117.1869161,Residential,,
Los Alamos & Lincoln/Vista Murrieta,33.56595511,-117.1905315,Residential,,
